CITY,REGION,COUNTRY,IGNORE COLUMN AVERAGE RATING,IGNORE COLUMN TOTAL COST,VALUE SCORE,RANKING,AVG. HOTEL RATINGS (3 STAR),AVG. HOTEL PRICE PER NIGHT (3 STAR),LOCAL TRANSPORT COST (ONE WAY TICKET),"Cost of Meal for Two at a MidRange Restaurant (Three Courses, Without Drinks)",AVG. FLIGHT COST TO DESTINATION FROM UK,AVG. FLIGHT COST TO DESTINATION FROM USA,AVG. FLIGHT COST OVERALL,AVG. ATTRACTION PRICES,AVG. RESTAURANT RATINGS,AVG. ATTRACTION RATINGS
Prague,Europe,Czech Republic,4.33,304.07,0.014235,1,4.1,£107.00,1.59,48.95,£63.00,£101.00,£82.00,£64.53,4.57,4.32
Alicante,Europe,Spain,4.43,356.41,0.012422,2,4.07,£152.00,1.45,50,£41.00,£143.00,£92.00,£60.96,4.65,4.57
Bilbao,Europe,Spain,4.33,398.1,0.010873,3,4.08,£131.00,1.7,62.5,£91.00,£132.00,£111.50,£91.40,4.6,4.31
Porto,Europe,Portugal,4.48,481.44,0.009295,4,4.11,£98.00,1.48,50,£68.00,£449.00,£258.50,£73.46,4.65,4.67
Athens,Europe,Greece,4.39,483.59,0.009086,5,4.21,£126.00,1.2,60,£142.00,£321.00,£231.50,£64.89,4.62,4.35
Brugge,Europe,Belgium,4.48,504.19,0.008881,6,4.15,£134.00,2.85,100,£37.00,£401.00,£219.00,£48.34,4.45,4.83
London,Europe,United Kingdom,4.4,498.86,0.008816,7,4.03,£152.00,4.02,91.85,£30.00,£277.00,£153.50,£97.49,4.55,4.61
Krakow,Europe,Poland,4.47,513.85,0.008701,8,4.26,£97.00,1.4,46.67,£59.00,£571.00,£315.00,£53.78,4.45,4.71
Malaga,Europe,Spain,4.43,529.86,0.008352,9,4.09,£145.00,1.4,60,£43.00,£527.00,£285.00,£38.46,4.54,4.65
Phuket,Asia,Thailand,4.38,526.45,0.008324,10,4.15,£43.00,1.26,35.75,£570.00,£170.00,£370.00,£76.44,4.45,4.55
Bern,Europe,Switzerland,4.2,504.93,0.008314,11,3.95,£110.00,5.65,108.64,£87.00,£359.00,£223.00,£57.64,4.3,4.35
Budapest,Europe,Hungary,4.38,537.49,0.008149,12,4.08,£139.00,1.3,57.41,£76.00,£470.00,£273.00,£66.78,4.5,4.56
Naples,Europe,Italy,4.58,567.22,0.008078,13,4,£87.00,1.5,70,£77.00,£565.00,£321.00,£87.72,4.99,4.76
Ibiza,Europe,Spain,4.59,568.98,0.008075,14,4.56,£166.00,2,72,£44.00,£477.00,£260.50,£68.48,4.49,4.73
Tenerife,Europe,Spain,4.26,527.15,0.008072,15,4.1,£103.00,1.25,60,£80.00,£515.00,£297.50,£65.40,4.46,4.21
Marbella,Europe,Spain,4.22,526.4,0.008023,16,3.8,£220.00,3,80,£43.00,£229.00,£136.00,£87.40,4.55,4.32
Hanoi,Asia,Vietnam,4.57,570.62,0.008016,17,4.28,£29.00,0.33,22.93,£635.00,£174.00,£404.50,£113.86,4.65,4.79
Dubrovnik,Europe,Croatia,4.49,562.68,0.007975,18,4.22,£162.00,2.5,73,£73.00,£150.00,£111.50,£213.68,4.42,4.83
Hamburg,Europe,Germany,4.33,548.7,0.007887,19,3.98,£142.00,3.75,62.5,£71.00,£488.00,£279.50,£60.95,4.35,4.65
Berlin,Europe,Germany,4.12,523.42,0.007875,20,4.06,£148.00,4,65,£75.00,£362.00,£218.50,£87.92,4.4,3.91
Palma de Mallorca,Europe,Spain,4.4,560.13,0.007862,21,4.22,£121.00,2,60,£43.00,£518.00,£280.50,£96.63,4.5,4.5
Munich,Europe,Germany,4.48,585.01,0.007655,22,4.17,£134.00,4.1,80,£139.00,£465.00,£302.00,£64.91,4.55,4.72
Nice,Europe,France,4.43,588.28,0.007536,23,4.03,£172.00,1.7,81.5,£75.00,£181.00,£128.00,£205.08,4.55,4.72
Zagreb,Europe,Croatia,4.29,576.55,0.007444,24,4.12,£121.00,0.53,60,£82.00,£543.00,£312.50,£82.52,4.45,4.31
Valencia,Europe,Spain,4.25,575.07,0.007382,25,4.17,£200.00,2,60,£56.00,£439.00,£247.50,£65.57,4.61,3.96
Seville,Europe,Spain,4.37,599.6,0.007283,26,4.23,£127.00,1.4,50,£67.00,£627.00,£347.00,£74.20,4.55,4.32
Barcelona,Europe,Spain,4.26,601.45,0.007088,27,4.22,£272.00,2.65,60,£38.00,£341.00,£189.50,£77.30,4.65,3.92
Vienna,Europe,Austria,4.29,610.23,0.00703,28,4,£103.00,3,80,£94.00,£557.00,£325.50,£98.73,4.76,4.11
Salzburg,Europe,Austria,4.41,628.25,0.007017,29,4.11,£160.00,2.4,75,£178.00,£379.00,£278.50,£112.35,4.45,4.67
Seattle,North America,USA,4.11,587.29,0.007001,30,3.85,£101.00,2.59,86.28,£470.00,£173.00,£321.50,£75.92,4.5,3.99
Paris,Europe,France,4.46,637.27,0.006993,31,4.07,£163.00,2.5,70,£33.00,£481.00,£257.00,£144.77,4.77,4.53
